,車種,車次,始發站,終點站,出發時間,抵達時間,行駛時間,經由,詳細資訊,全票,孩童票,敬老票,訂票
0,區間,2133,基隆,嘉義,05:03,05:15,12 分,山線,詳細,$ 15,$ 8,$ 8,
1,區間,1117,基隆,苗栗,05:29,05:41,12 分,山線,詳細,$ 15,$ 8,$ 8,
2,區間,1121,基隆,新竹,05:55,06:07,12 分,-,詳細,$ 15,$ 8,$ 8,
3,自強,105,基隆,屏東,06:12,06:25,13 分,山線,詳細,$ 23,$ 12,$ 12,訂票
4,區間,2143,基隆,嘉義,06:17,06:31,14 分,山線,詳細,$ 15,$ 8,$ 8,
5,區間快,2007,基隆,二水,06:36,06:48,12 分,海線,詳細,$ 15,$ 8,$ 8,
6,區間,1127,基隆,苗栗,06:41,06:54,13 分,山線,詳細,$ 15,$ 8,$ 8,
7,區間,1131,基隆,新竹,06:50,07:02,12 分,-,詳細,$ 15,$ 8,$ 8,
8,區間,1129,基隆,北湖,07:00,07:12,12 分,-,詳細,$ 15,$ 8,$ 8,
9,區間,2153,基隆,嘉義,07:12,07:25,13 分,山線,詳細,$ 15,$ 8,$ 8,
10,區間,1135,基隆,北湖,07:24,07:36,12 分,-,詳細,$ 15,$ 8,$ 8,
11,區間,1137,基隆,苗栗,07:44,07:57,13 分,山線,詳細,$ 15,$ 8,$ 8,
12,區間,1141,基隆,新竹,07:56,08:09,13 分,-,詳細,$ 15,$ 8,$ 8,
13,自強,115,基隆,屏東,08:14,08:27,13 分,山線,詳細,$ 23,$ 12,$ 12,訂票
14,區間,2163,基隆,嘉義,08:19,08:32,13 分,山線,詳細,$ 15,$ 8,$ 8,
15,區間,1147,基隆,苗栗,08:39,08:52,13 分,山線,詳細,$ 15,$ 8,$ 8,
16,區間,1151,基隆,新竹,08:52,09:05,13 分,-,詳細,$ 15,$ 8,$ 8,
17,區間,2173,基隆,嘉義,09:21,09:33,12 分,山線,詳細,$ 15,$ 8,$ 8,
18,自強3000,117,基隆,潮州,09:35,09:47,12 分,山線,詳細,$ 23,$ 12,$ 12,訂票
19,區間,1157,基隆,苗栗,09:40,09:52,12 分,山線,詳細,$ 15,$ 8,$ 8,
20,區間,1161,基隆,新竹,10:00,10:12,12 分,-,詳細,$ 15,$ 8,$ 8,
21,區間,1165,基隆,七堵,10:11,10:23,12 分,-,詳細,$ 15,$ 8,$ 8,
22,區間,2183,基隆,嘉義,10:20,10:33,13 分,山線,詳細,$ 15,$ 8,$ 8,
23,區間,1167,基隆,北湖,10:45,10:57,12 分,-,詳細,$ 15,$ 8,$ 8,
24,區間,2193,基隆,嘉義,11:15,11:28,13 分,山線,詳細,$ 15,$ 8,$ 8,
25,區間,1177,基隆,苗栗,11:36,11:48,12 分,山線,詳細,$ 15,$ 8,$ 8,
26,區間,2203,基隆,嘉義,12:00,12:12,12 分,山線,詳細,$ 15,$ 8,$ 8,
27,區間,1191,基隆,新竹,12:26,12:38,12 分,-,詳細,$ 15,$ 8,$ 8,
28,區間,1187,基隆,苗栗,12:49,13:01,12 分,山線,詳細,$ 15,$ 8,$ 8,
29,區間,2213,基隆,嘉義,13:04,13:16,12 分,山線,詳細,$ 15,$ 8,$ 8,
30,自強,129,基隆,枋寮,13:14,13:26,12 分,山線,詳細,$ 23,$ 12,$ 12,訂票
31,區間,1197,基隆,苗栗,13:33,13:45,12 分,山線,詳細,$ 15,$ 8,$ 8,
32,區間,1201,基隆,新竹,13:57,14:09,12 分,-,詳細,$ 15,$ 8,$ 8,
33,區間,2223,基隆,嘉義,14:24,14:36,12 分,山線,詳細,$ 15,$ 8,$ 8,
34,區間,1207,基隆,苗栗,14:41,14:53,12 分,山線,詳細,$ 15,$ 8,$ 8,
35,區間,1211,基隆,新竹,14:55,15:07,12 分,-,詳細,$ 15,$ 8,$ 8,
36,區間,1215,基隆,七堵,15:23,15:36,13 分,-,詳細,$ 15,$ 8,$ 8,
37,區間,1217,基隆,苗栗,15:35,15:47,12 分,山線,詳細,$ 15,$ 8,$ 8,
38,區間,1221,基隆,新竹,16:00,16:12,12 分,-,詳細,$ 15,$ 8,$ 8,
39,區間,1227,基隆,苗栗,16:27,16:39,12 分,山線,詳細,$ 15,$ 8,$ 8,
40,區間,1231,基隆,新竹,16:41,16:53,12 分,-,詳細,$ 15,$ 8,$ 8,
41,區間,1233,基隆,湖口,17:02,17:14,12 分,-,詳細,$ 15,$ 8,$ 8,
42,區間,1235,基隆,新竹,17:22,17:35,13 分,-,詳細,$ 15,$ 8,$ 8,
43,區間,1237,基隆,苗栗,17:40,17:53,13 分,山線,詳細,$ 15,$ 8,$ 8,
44,區間,1243,基隆,湖口,18:02,18:14,12 分,-,詳細,$ 15,$ 8,$ 8,
45,自強,149,基隆,潮州,18:11,18:24,13 分,山線,詳細,$ 23,$ 12,$ 12,訂票
46,區間,1241,基隆,竹南,18:16,18:29,13 分,-,詳細,$ 15,$ 8,$ 8,
47,區間,1247,基隆,苗栗,18:36,18:48,12 分,山線,詳細,$ 15,$ 8,$ 8,
